,umidade_max_hora_ant,umidade_min_hora_ant,umidade_hora,datetime,cod
0,80.0,70.0,77.0,2014-01-01 00:00:00,A532
1,82.0,73.0,82.0,2014-01-01 01:00:00,A532
2,87.0,81.0,87.0,2014-01-01 02:00:00,A532
3,87.0,80.0,85.0,2014-01-01 03:00:00,A532
4,86.0,80.0,80.0,2014-01-01 04:00:00,A532
5,87.0,79.0,85.0,2014-01-01 05:00:00,A532
6,90.0,85.0,87.0,2014-01-01 06:00:00,A532
7,90.0,83.0,87.0,2014-01-01 07:00:00,A532
8,91.0,86.0,91.0,2014-01-01 08:00:00,A532
9,92.0,90.0,91.0,2014-01-01 09:00:00,A532
10,91.0,76.0,76.0,2014-01-01 10:00:00,A532
11,77.0,67.0,68.0,2014-01-01 11:00:00,A532
12,69.0,62.0,63.0,2014-01-01 12:00:00,A532
13,66.0,59.0,61.0,2014-01-01 13:00:00,A532
14,64.0,56.0,58.0,2014-01-01 14:00:00,A532
15,61.0,48.0,56.0,2014-01-01 15:00:00,A532
16,55.0,48.0,49.0,2014-01-01 16:00:00,A532
17,54.0,45.0,48.0,2014-01-01 17:00:00,A532
18,51.0,45.0,45.0,2014-01-01 18:00:00,A532
19,49.0,43.0,44.0,2014-01-01 19:00:00,A532
20,48.0,43.0,47.0,2014-01-01 20:00:00,A532
21,56.0,46.0,56.0,2014-01-01 21:00:00,A532
22,68.0,54.0,68.0,2014-01-01 22:00:00,A532
23,82.0,67.0,82.0,2014-01-01 23:00:00,A532
24,84.0,80.0,82.0,2014-01-02 00:00:00,A532
25,85.0,76.0,85.0,2014-01-02 01:00:00,A532
26,86.0,81.0,85.0,2014-01-02 02:00:00,A532
27,90.0,85.0,90.0,2014-01-02 03:00:00,A532
28,91.0,89.0,91.0,2014-01-02 04:00:00,A532
29,92.0,91.0,91.0,2014-01-02 05:00:00,A532
30,91.0,87.0,87.0,2014-01-02 06:00:00,A532
31,89.0,85.0,86.0,2014-01-02 07:00:00,A532
32,88.0,84.0,85.0,2014-01-02 08:00:00,A532
33,89.0,85.0,86.0,2014-01-02 09:00:00,A532
34,86.0,75.0,75.0,2014-01-02 10:00:00,A532
35,77.0,66.0,67.0,2014-01-02 11:00:00,A532
36,69.0,59.0,63.0,2014-01-02 12:00:00,A532
37,64.0,53.0,56.0,2014-01-02 13:00:00,A532
38,59.0,51.0,56.0,2014-01-02 14:00:00,A532
39,60.0,50.0,55.0,2014-01-02 15:00:00,A532
40,58.0,45.0,47.0,2014-01-02 16:00:00,A532
41,51.0,45.0,47.0,2014-01-02 17:00:00,A532
42,48.0,32.0,35.0,2014-01-02 18:00:00,A532
43,35.0,28.0,28.0,2014-01-02 19:00:00,A532
44,36.0,27.0,33.0,2014-01-02 20:00:00,A532
45,40.0,30.0,40.0,2014-01-02 21:00:00,A532
46,47.0,40.0,47.0,2014-01-02 22:00:00,A532
47,53.0,46.0,51.0,2014-01-02 23:00:00,A532
48,59.0,51.0,59.0,2014-01-03 00:00:00,A532
49,82.0,59.0,82.0,2014-01-03 01:00:00,A532
50,88.0,81.0,87.0,2014-01-03 02:00:00,A532
51,88.0,68.0,69.0,2014-01-03 03:00:00,A532
52,80.0,69.0,79.0,2014-01-03 04:00:00,A532
53,86.0,78.0,85.0,2014-01-03 05:00:00,A532
54,90.0,85.0,88.0,2014-01-03 06:00:00,A532
55,90.0,87.0,90.0,2014-01-03 07:00:00,A532
56,93.0,90.0,93.0,2014-01-03 08:00:00,A532
57,93.0,92.0,92.0,2014-01-03 09:00:00,A532
58,92.0,81.0,82.0,2014-01-03 10:00:00,A532
59,82.0,68.0,68.0,2014-01-03 11:00:00,A532
60,70.0,62.0,68.0,2014-01-03 12:00:00,A532
61,70.0,62.0,66.0,2014-01-03 13:00:00,A532
62,66.0,49.0,51.0,2014-01-03 14:00:00,A532
63,55.0,43.0,48.0,2014-01-03 15:00:00,A532
64,50.0,40.0,46.0,2014-01-03 16:00:00,A532
65,47.0,37.0,40.0,2014-01-03 17:00:00,A532
66,43.0,38.0,40.0,2014-01-03 18:00:00,A532
67,45.0,36.0,40.0,2014-01-03 19:00:00,A532
68,42.0,37.0,39.0,2014-01-03 20:00:00,A532
69,47.0,38.0,46.0,2014-01-03 21:00:00,A532
70,65.0,44.0,65.0,2014-01-03 22:00:00,A532
71,76.0,65.0,76.0,2014-01-03 23:00:00,A532
72,82.0,73.0,80.0,2014-01-04 00:00:00,A532
73,83.0,77.0,82.0,2014-01-04 01:00:00,A532
74,88.0,82.0,88.0,2014-01-04 02:00:00,A532
75,90.0,86.0,90.0,2014-01-04 03:00:00,A532
76,91.0,83.0,83.0,2014-01-04 04:00:00,A532
77,89.0,79.0,89.0,2014-01-04 05:00:00,A532
78,92.0,89.0,92.0,2014-01-04 06:00:00,A532
79,92.0,91.0,92.0,2014-01-04 07:00:00,A532
80,92.0,91.0,92.0,2014-01-04 08:00:00,A532
81,94.0,92.0,94.0,2014-01-04 09:00:00,A532
82,94.0,80.0,80.0,2014-01-04 10:00:00,A532
83,81.0,71.0,71.0,2014-01-04 11:00:00,A532
84,73.0,67.0,70.0,2014-01-04 12:00:00,A532
85,71.0,60.0,62.0,2014-01-04 13:00:00,A532
86,62.0,56.0,58.0,2014-01-04 14:00:00,A532
87,62.0,44.0,48.0,2014-01-04 15:00:00,A532
88,49.0,40.0,48.0,2014-01-04 16:00:00,A532
89,48.0,37.0,38.0,2014-01-04 17:00:00,A532
90,43.0,35.0,35.0,2014-01-04 18:00:00,A532
91,43.0,35.0,39.0,2014-01-04 19:00:00,A532
92,43.0,38.0,42.0,2014-01-04 20:00:00,A532
93,45.0,39.0,45.0,2014-01-04 21:00:00,A532
94,66.0,44.0,66.0,2014-01-04 22:00:00,A532
95,74.0,66.0,69.0,2014-01-04 23:00:00,A532
96,79.0,69.0,75.0,2014-01-05 00:00:00,A532
97,82.0,74.0,82.0,2014-01-05 01:00:00,A532
98,83.0,80.0,81.0,2014-01-05 02:00:00,A532
99,83.0,63.0,69.0,2014-01-05 03:00:00,A532
100,80.0,69.0,80.0,2014-01-05 04:00:00,A532
101,87.0,78.0,87.0,2014-01-05 05:00:00,A532
102,88.0,82.0,87.0,2014-01-05 06:00:00,A532
103,89.0,87.0,88.0,2014-01-05 07:00:00,A532
104,90.0,87.0,90.0,2014-01-05 08:00:00,A532
105,91.0,87.0,87.0,2014-01-05 09:00:00,A532
106,87.0,72.0,74.0,2014-01-05 10:00:00,A532
107,74.0,65.0,66.0,2014-01-05 11:00:00,A532
108,68.0,56.0,58.0,2014-01-05 12:00:00,A532
109,62.0,55.0,56.0,2014-01-05 13:00:00,A532
110,60.0,50.0,50.0,2014-01-05 14:00:00,A532
111,54.0,43.0,45.0,2014-01-05 15:00:00,A532
112,48.0,41.0,44.0,2014-01-05 16:00:00,A532
113,46.0,37.0,44.0,2014-01-05 17:00:00,A532
114,45.0,36.0,40.0,2014-01-05 18:00:00,A532
115,44.0,36.0,39.0,2014-01-05 19:00:00,A532
116,41.0,37.0,39.0,2014-01-05 20:00:00,A532
117,44.0,39.0,42.0,2014-01-05 21:00:00,A532
118,60.0,42.0,60.0,2014-01-05 22:00:00,A532
119,75.0,60.0,75.0,2014-01-05 23:00:00,A532
120,78.0,58.0,58.0,2014-01-06 00:00:00,A532
121,60.0,56.0,60.0,2014-01-06 01:00:00,A532
122,67.0,60.0,67.0,2014-01-06 02:00:00,A532
123,73.0,67.0,73.0,2014-01-06 03:00:00,A532
124,81.0,73.0,81.0,2014-01-06 04:00:00,A532
125,82.0,79.0,82.0,2014-01-06 05:00:00,A532
126,87.0,81.0,85.0,2014-01-06 06:00:00,A532
127,91.0,85.0,91.0,2014-01-06 07:00:00,A532
128,93.0,91.0,93.0,2014-01-06 08:00:00,A532
129,93.0,87.0,87.0,2014-01-06 09:00:00,A532
130,87.0,85.0,85.0,2014-01-06 10:00:00,A532
131,85.0,72.0,73.0,2014-01-06 11:00:00,A532
132,73.0,59.0,65.0,2014-01-06 12:00:00,A532
133,67.0,57.0,59.0,2014-01-06 13:00:00,A532
134,60.0,50.0,52.0,2014-01-06 14:00:00,A532
135,55.0,45.0,51.0,2014-01-06 15:00:00,A532
136,51.0,39.0,47.0,2014-01-06 16:00:00,A532
137,48.0,40.0,44.0,2014-01-06 17:00:00,A532
138,47.0,36.0,40.0,2014-01-06 18:00:00,A532
139,41.0,36.0,38.0,2014-01-06 19:00:00,A532
140,44.0,38.0,40.0,2014-01-06 20:00:00,A532
141,44.0,40.0,44.0,2014-01-06 21:00:00,A532
142,51.0,44.0,51.0,2014-01-06 22:00:00,A532
143,67.0,51.0,65.0,2014-01-06 23:00:00,A532
144,78.0,63.0,63.0,2014-01-07 00:00:00,A532
145,63.0,58.0,59.0,2014-01-07 01:00:00,A532
146,62.0,59.0,60.0,2014-01-07 02:00:00,A532
147,63.0,59.0,62.0,2014-01-07 03:00:00,A532
148,65.0,60.0,65.0,2014-01-07 04:00:00,A532
149,73.0,65.0,73.0,2014-01-07 05:00:00,A532
150,77.0,73.0,76.0,2014-01-07 06:00:00,A532
151,79.0,75.0,78.0,2014-01-07 07:00:00,A532
152,83.0,77.0,83.0,2014-01-07 08:00:00,A532
153,88.0,83.0,88.0,2014-01-07 09:00:00,A532
154,88.0,80.0,80.0,2014-01-07 10:00:00,A532
155,80.0,63.0,64.0,2014-01-07 11:00:00,A532
156,66.0,57.0,60.0,2014-01-07 12:00:00,A532
157,62.0,54.0,56.0,2014-01-07 13:00:00,A532
158,57.0,51.0,55.0,2014-01-07 14:00:00,A532
159,81.0,52.0,77.0,2014-01-07 15:00:00,A532
160,77.0,54.0,55.0,2014-01-07 16:00:00,A532
161,59.0,49.0,49.0,2014-01-07 17:00:00,A532
162,52.0,41.0,42.0,2014-01-07 18:00:00,A532
163,48.0,39.0,46.0,2014-01-07 19:00:00,A532
164,49.0,44.0,46.0,2014-01-07 20:00:00,A532
165,50.0,45.0,49.0,2014-01-07 21:00:00,A532
166,63.0,49.0,61.0,2014-01-07 22:00:00,A532
167,64.0,60.0,64.0,2014-01-07 23:00:00,A532
168,70.0,64.0,66.0,2014-01-08 00:00:00,A532
169,68.0,66.0,68.0,2014-01-08 01:00:00,A532
170,71.0,67.0,71.0,2014-01-08 02:00:00,A532
171,78.0,71.0,78.0,2014-01-08 03:00:00,A532
172,83.0,78.0,83.0,2014-01-08 04:00:00,A532
173,89.0,83.0,89.0,2014-01-08 05:00:00,A532
174,91.0,86.0,86.0,2014-01-08 06:00:00,A532
175,90.0,86.0,86.0,2014-01-08 07:00:00,A532
176,89.0,86.0,89.0,2014-01-08 08:00:00,A532
177,91.0,88.0,90.0,2014-01-08 09:00:00,A532
178,90.0,75.0,76.0,2014-01-08 10:00:00,A532
